Epoch: 198 	Total: 187.2395 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5686
Epoch: 199 	Total: 187.2400 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6067
Epoch: 200 	Total: 187.1101 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5632
Epoch: 201 	Total: 187.2362 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5164
Epoch: 202 	Total: 187.3543 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6492
Epoch: 203 	Total: 187.2278 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5463
Epoch: 204 	Total: 187.1123 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6066
Epoch: 205 	Total: 187.2940 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6290
Epoch: 206 	Total: 187.3257 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6647
Epoch: 207 	Total: 187.0650 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6097
Epoch: 208 	Total: 187.3749 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5537
Epoch: 209 	Total: 187.1056 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5824
Epoch: 210 	Total: 187.4740 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5954
Epoch: 211 	Total: 187.5783 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6582
Epoch: 212 	Total: 187.3356 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6632
Epoch: 213 	Total: 187.3822 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6316
Epoch: 214 	Total: 187.3229 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4925
Epoch: 215 	Total: 187.4468 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6376
Epoch: 216 	Total: 187.1510 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6163
Epoch: 217 	Total: 187.2841 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5655
Epoch: 218 	Total: 187.3302 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5625
Epoch: 219 	Total: 187.2436 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5824
Epoch: 220 	Total: 187.2031 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6083
Epoch: 221 	Total: 187.4649 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5475
Epoch: 222 	Total: 187.2285 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5415
Epoch: 223 	Total: 187.0479 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5764
Epoch: 224 	Total: 187.5326 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5974
Epoch: 225 	Total: 187.0851 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5894
